 Key|US English



HUD_LOADSAVE_LOADING|Загрузка...
HUD_LOADSAVE_LOADING|Loading...



HUD_FRONTEND_START_NEW_PARK|
HUD_FRONTEND_START_NEW_PARK|UNUSED
HUD_FRONTEND_START_PROGRESSION|Новый парк
HUD_FRONTEND_START_PROGRESSION|Start New Park
HUD_FRONTEND_LOAD_PARK|Загрузить парк
HUD_FRONTEND_LOAD_PARK|Load Saved Park
HUD_FRONTEND_GAME_TOOLS|Инструменты
HUD_FRONTEND_GAME_TOOLS|Toolkit
HUD_FRONTEND_UPGRADES|Улучшения
HUD_FRONTEND_UPGRADES|Upgrades

HUD_FRONTEND_ROLLERCOASTER_DESIGNER|Дизайн горки
HUD_FRONTEND_ROLLERCOASTER_DESIGNER|Ride Designer
HUD_FRONTEND_TRACK_DESIGNS_MANAGER|
HUD_FRONTEND_TRACK_DESIGNS_MANAGER|UNUSED
HUD_FRONTEND_PARK_SCENARIO_EDITOR|Редактор сценариев
HUD_FRONTEND_PARK_SCENARIO_EDITOR|Park Scenario Editor
HUD_FRONTEND_CONVERT_PARK_TO_SCENARIO|Сделать из сохранения сценарий
HUD_FRONTEND_CONVERT_PARK_TO_SCENARIO|Convert Saved Park to Scenario
HUD_FRONTEND_LOAD_TYCOON_PARK|Загрузить "Tycoon Park"
HUD_FRONTEND_LOAD_TYCOON_PARK|Load “Tycoon Park”
HUD_FRONTEND_IMPORT_EXPORT|Экспорт сценария
HUD_FRONTEND_IMPORT_EXPORT|Export Scenario
HUD_FRONTEND_COPYRIGHT_1|
HUD_FRONTEND_COPYRIGHT_1|© Chris Sawyer 1999-2016. All Rights Reserved.\nDeveloped by Origin8 Technologies Ltd.



HUD_FRONTEND_UPGRADES_TITLE|Улучшения
HUD_FRONTEND_UPGRADES_TITLE|Upgrades
HUD_FRONTEND_UPGRADES_BUTTON_IAP1|Купить Wacky Worlds Expansion Pack
HUD_FRONTEND_UPGRADES_BUTTON_IAP1|Get the Wacky Worlds Expansion Pack
HUD_FRONTEND_UPGRADES_BUTTON_IAP2|Купить Time Twister Expansion Pack
HUD_FRONTEND_UPGRADES_BUTTON_IAP2|Get the Time Twister Expansion Pack
HUD_FRONTEND_UPGRADES_BUTTON_IAP3|Купить Toolkit.
HUD_FRONTEND_UPGRADES_BUTTON_IAP3|Get the Toolkit. Get creative!
HUD_FRONTEND_UPGRADES_DESC_IAP1|Найдите ваш паспорт и упаковывайте сумки!В сценарии Wacky Worlds Вы посетите 17 РЕАЛЬНЫХ парков мира!
HUD_FRONTEND_UPGRADES_DESC_IAP1|Find your passport and pack your bags! Wacky Worlds takes players on the ultimate trip around the globe in 17 new park scenarios!\nIncludes exotic rides, profitable concessions and the most famous landmarks known to man including the Eiffel Tower, Big Ben, Statue of Liberty, Great Wall of China and more! Each location is packed with opportunities for success, fun and unique challenges.
HUD_FRONTEND_UPGRADES_DESC_IAP2|Путешествуйте в прошлое и посетите 14 парков. 
